"The nationality of Kato, the Green Hornet's valet, was abruptly changed after the beginning of World War II.";mostly true
"Administrators at the University of Wisconsin forced students to wear hijabs during Islam Appreciation Week.";MOSTLY FALSE
"White House Press Secretary Josh Earnest said World War II veterans who felt ""embittered"" by diplomatic relations with Japan on the anniversary of Pearl Harbor in 2016 should ""get over it.""";mostly false
"President Obama hung a portrait of Hillary Clinton at the White House as part of his 2016 Christmas decorations.";MOSTLY FALSE
"United Airlines will begin charging for overhead bin space.";mostly false
"Donald Trump owns Carrier, or a significant stake in its parent company, United Technologies.";false
"The United States military recruited Native Americans as scouts in the Vietnam War and — in the course of their training — the military discovered that long hair actually helps give people ‘almost supernatural’ tracking abilities.";False
"A viral video shows a man punching a kangaroo in the face to save his dog.";TRUE
"Iconic legacy fragrance Chanel No. 5 will be discontinued because the construction of a train track in France threatens its flower supply chain.";unproven
"A gruesome image depicts children kidnapped and killed by organ traffickers in Thailand.";false
"Despite a decision that halted construction of the Dakota Access Pipeline (DAPL), Energy Transfer Partners continued to build it and accept a $50,000 daily fine.";unproven
"Despite an agreement with President-elect Donald Trump to keep 1,000 manufacturing jobs in the U.S., Carrier Corporation says it will still relocate hundreds of jobs to Mexico.";True
"Donald Trump canceled various White House measures accommodating Islamic prayers in the building, upsetting President Obama.";FALSE
"If you use a real Christmas tree, you run the risk of bringing Lyme disease-transmitting ticks into your home.";Mostly False
"A photograph shows a donut with ""Muslim writing"" on it.";FALSE
"The White House decided not to display a Christmas Nativity scene in 2016.";FALSE
"A somber image shows a man whose wife and two children were killed in a car accident.";false
"A photograph of a shark leaping out of the water is real and won an award from National Geographic.";FALSE
"Donald Trump selected Mexican drug lord El Chapo to head the Drug Enforcement Administration.";false
"British £5 notes introduced in 2016 contain traces of beef tallow.";true
"A Mexican mother's young son was recently poisoned by topical application of Vicks VapoRub.";unproven
"A prankster changed the name of Trump Tower to Dump Tower in Google Maps briefly on 26 November 2016.";true
"A Minnesota man was jailed simply for possessing a windmill on his property.";mostly false
"Edward Snowden claimed that Russia fixed the 2016 general election so Donald Trump would win.";false
"Cuban leader Fidel Castro once said he wouldn't die until the United States was destroyed.";false
"Ben Carson once said “if the Big Bang is merely a theory, if by chance it was true, how would you explain that the Earth didn't blow up during the explosion?”";False
"Mattel is introducing ""Public Assistance Barbie"" for the holidays.";false
"Future Cuban revolutionary leader Fidel Castro was once given a tryout by the Washington Senators baseball team.";false
"Scientific studies support the conclusion that marijuana can play a role in healing broken bones.";Mostly True
"Donald Trump's Christmas ornaments were all made in China.";unproven
"Donald Trump's nominee for Secretary of Education, billionaire Betsy DeVos, has no education degree or teaching experience, has never attended a public school or sent her children to one, and supports the funding of for-profit Christian schools over public ones; she got the job because she donated $9.5 million to Trump's campaign.";Mixture
"Corona beer founder Antonino Fernandez made everyone in his village a millionaire after his death.";FALSE
"A Swedish woman found a long-lost wedding ring in her carrot garden.";true
"A man in Point Pleasant, West Virginia, caught the legendary Mothman on camera.";unproven
"Theodore Roosevelt said that speaking out against criticism of the President ""is not only unpatriotic and servile, but is morally treasonable to the American public.""";True
"CNN accidentally aired thirty minutes of porn during an episode of Anthony Bourdain's ""Parts Unknown.""";FALSE
